Argentina,Belgium,Brazil,Norway,Spain,Sweden,Thailand
128.0,109.0,151.0,108.0,120.0,101.0,114.0
158.0,169.0,151.0,147.0,165.0,161.0,147.0
225.0,200.0,162.0,176.0,222.0,203.0,177.0
298.0,239.0,200.0,205.0,259.0,248.0,212.0
387.0,267.0,321.0,400.0,400.0,355.0,272.0
502.0,314.0,372.0,598.0,500.0,500.0,322.0
589.0,314.0,621.0,702.0,673.0,599.0,411.0
589.0,559.0,793.0,996.0,1073.0,814.0,599.0
745.0,689.0,1021.0,1090.0,1695.0,961.0,702.0
820.0,886.0,1593.0,1221.0,2277.0,1022.0,827.0
820.0,1058.0,1887.0,1333.0,2277.0,1103.0,934.0
1054.0,1243.0,2247.0,1463.0,5232.0,1190.0,1045.0
1133.0,1486.0,2554.0,1550.0,6391.0,1279.0,1136.0
1265.0,1795.0,2985.0,1746.0,7798.0,1439.0,1245.0
1353.0,2257.0,3417.0,1914.0,9942.0,1639.0,1388.0
1451.0,2815.0,3904.0,2118.0,11748.0,1763.0,1524.0
1554.0,3401.0,4256.0,2383.0,13910.0,1934.0,1651.0
1628.0,3792.0,4630.0,2600.0,17963.0,2098.0,1771.0
1715.0,4269.0,5717.0,2866.0,20410.0,2299.0,1875.0
1795.0,4937.0,6880.0,3084.0,25374.0,2526.0,1978.0
1894.0,6235.0,8044.0,3372.0,28768.0,2840.0,2067.0
1975.0,7284.0,9194.0,3771.0,34749.0,3069.0,2169.0
2142.0,9134.0,10360.0,4015.0,42058.0,3447.0,2220.0
2142.0,10836.0,11254.0,4284.0,49515.0,3700.0,2258.0
2277.0,11899.0,12183.0,4445.0,57786.0,4028.0,2369.0
2277.0,12775.0,14034.0,4641.0,65719.0,4435.0,2423.0
2571.0,13964.0,16188.0,4877.0,73235.0,4947.0,2473.0
2669.0,15348.0,18145.0,5147.0,80110.0,5568.0,2518.0
2669.0,16770.0,19789.0,5370.0,87956.0,6131.0,2551.0
2839.0,18431.0,20962.0,5550.0,95923.0,6443.0,2579.0
2941.0,19691.0,22192.0,5687.0,104118.0,6830.0,2613.0
3031.0,20814.0,23430.0,5865.0,112065.0,7206.0,2643.0
3144.0,22194.0,25262.0,6086.0,119199.0,7693.0,2672.0
3288.0,23403.0,28610.0,6042.0,126168.0,8419.0,2700.0
3435.0,24983.0,30683.0,6219.0,131646.0,9141.0,2733.0
3607.0,26667.0,33682.0,6314.0,136675.0,9685.0,2765.0
3780.0,28018.0,36722.0,6409.0,141942.0,10151.0,2792.0
3892.0,29647.0,38654.0,6525.0,148220.0,10483.0,2811.0
4003.0,30589.0,40743.0,6603.0,153222.0,10948.0,2826.0
4127.0,31119.0,43079.0,6623.0,158273.0,11445.0,2839.0
4285.0,33573.0,45757.0,6797.0,163027.0,11927.0,2854.0
4428.0,34809.0,49492.0,6905.0,166831.0,12540.0,2907.0
4532.0,36138.0,52995.0,6937.0,170099.0,13216.0,2922.0
4681.0,37183.0,59196.0,7036.0,174060.0,13822.0,2931.0
4783.0,38496.0,62859.0,7078.0,180659.0,14385.0,2938.0
4887.0,39983.0,66501.0,7156.0,184948.0,14777.0,2947.0
5020.0,40956.0,72899.0,7241.0,190839.0,15322.0,2954.0
5208.0,41889.0,79361.0,7338.0,194416.0,16004.0,2960.0
5371.0,42797.0,85380.0,7401.0,198674.0,16755.0,2966.0
5611.0,44293.0,92109.0,7463.0,200210.0,17567.0,2969.0
5776.0,45325.0,96559.0,7493.0,204178.0,18177.0,2987.0
6034.0,46134.0,101147.0,7527.0,208389.0,18640.0,2988.0
6278.0,46687.0,108266.0,7599.0,213024.0,18926.0,2989.0
6563.0,47334.0,114715.0,7660.0,219764.0,19621.0,2992.0
6879.0,47859.0,126611.0,7710.0,223759.0,20302.0,3000.0
,48519.0,135693.0,7738.0,226629.0,21092.0,3004.0
,49032.0,145892.0,7783.0,229422.0,21520.0,3009.0
,49517.0,156061.0,7809.0,232128.0,22082.0,3015.0
,49906.0,162699.0,7847.0,236899.0,22317.0,3017.0
,50267.0,169143.0,7904.0,239639.0,22721.0,3017.0
,50509.0,177602.0,7955.0,242988.0,23216.0,
,50781.0,189157.0,7996.0,245567.0,23918.0,
,51420.0,,8034.0,247122.0,24623.0,
,52011.0,,8070.0,248301.0,25265.0,
,52596.0,,8099.0,250561.0,25921.0,
,53081.0,,8105.0,253682.0,26322.0,
,53449.0,,8132.0,256855.0,26670.0,
,53779.0,,8157.0,260117.0,27272.0,
,53981.0,,8175.0,262783.0,27909.0,
,,,,264663.0,,
,,,,268143.0,,
,,,,269520.0,,
,,,,271095.0,,
